time,open,high,low,close,50d,200d,RS,Z of ROC
2021-08-28,55049158213.36984,55379145359.51375,52386614867.5225,52924114938.90255,39102401540.47637,39082672012.941124,2.5581265697497946,1.3077182906303775
2021-08-29,53388780765.66135,54346495889.214,51754292691.75945,53017137063.0297,39582269847.11269,39236192065.78424,2.527491146564804,1.2408608737143394
2021-08-30,52754037530.24575,53194482558.6423,50595718241.04124,50847137019.05565,40036686162.347404,39377937009.857315,2.4959230835339805,1.0802961283281487
2021-08-31,51136067135.2567,57883775347.93488,50824233468.372,55245755610.76701,40525425443.71127,39517395547.484795,2.577644709869529,1.0034973978032324
2021-09-01,54655854205.85101,57216258673.13,53563291721.9796,57182520491.52145,41060794925.8144,39658434844.83635,2.58016603011942,0.800523837800462
2021-09-02,57487700048.65298,60311423715.80145,56890096424.35452,58364092279.614,41659759177.35393,39811896341.21548,2.6093304758890037,0.7347200710674996
2021-09-03,57935390324.9506,61156231251.38875,56430574991.83501,59717967947.74755,42274642158.83847,39977762460.75428,2.599294414166527,0.5881492492477881
2021-09-04,59527555196.75136,59978630063.18896,57090087117.25146,58029210199.83465,42894500366.69309,40150118629.39794,2.5584210610581555,0.3194362075642935
2021-09-05,58073578219.48425,60685745376.35445,57186679993.3636,60401050583.60285,43537968369.17062,40326045638.43132,2.535936128454573,0.17134349752681194
2021-09-06,60465291778.7205,65452072320.587,60465291778.7205,64277706300.48665,44249663756.03121,40517424951.03315,2.6327781343295613,0.19931057512280764
2021-09-07,64733876704.96326,64843716623.44801,44216617694.100235,52503015612.33186,44852679845.20017,40675871851.792,2.564849653931547,0.10141310574686058
2021-09-08,52678171308.69276,53479904016.112,47278471243.79072,51207008095.42724,45373400915.322266,40810556508.32197,2.426618276115564,-0.02191400593274409
2021-09-09,50860077691.45345,52594589959.63,49592353963.3404,50238925416.35905,45880091114.176315,40944394913.29703,2.362218558725276,-0.18337573826488615
2021-09-10,50650313972.61143,57952091111.536,47972591949.22632,49172162967.00932,46370291853.62043,41072461724.40286,2.431962526405852,-0.3252114819989378
2021-09-11,49176821495.23373,51836841111.36612,49007716920.688,50230580579.59299,46819176328.36282,41210292166.43337,2.384520242548234,-0.3758552597818992
2021-09-12,50234307402.17252,52482978976.0904,49287228614.152,52095855280.64276,47275088814.08376,41357761839.61746,2.396301424768859,-0.3883059752146601
2021-09-13,52107501601.20377,52452232689.80936,47682365640.8462,49589567095.91556,47724807111.7433,41507212433.63329,2.398943297901664,-0.453396837124779
2021-09-14,49660610320.95585,51198677985.7308,49306747526.9079,51107764619.67104,48149576079.76536,41660809736.73653,2.373485067708611,-0.39397515171450886
2021-09-15,50628532088.9071,52247040472.37479,49891838095.9752,51851887797.37055,48586688885.019485,41817170036.44645,2.3367025236477024,-0.3725174122366518
2021-09-16,52258867700.7045,52688724744.3306,49737070792.92405,50893302320.24805,48974545376.81965,41978562472.70415,2.330213477830495,-0.29214562025165935
2021-09-17,50326274955.0442,50966376071.86395,48595922188.7098,49275769656.46565,49289385003.75506,42129261313.11586,2.2977719416804248,-0.3625766662341192
2021-09-18,49717023230.1519,51036432593.99341,49285767519.35564,50145947828.9979,49599218054.82229,42279693019.47969,2.2982562180508115,-0.35427243119028806
2021-09-19,50114710928.86455,50524520409.71851,48419992541.0328,48878289150.45195,49897037191.89297,42425913303.78122,2.2819750355562256,-0.3748300772909558
2021-09-20,48878289150.45195,48910458495.3654,40794459129.375,42869148765.0975,50120847717.95355,42547191624.03577,2.237994497796891,-0.46787921833726964
2021-09-21,43054977550.2336,44812962364.92034,40069720317.74671,40708817640.75798,50280179624.98039,42652037501.988884,2.2414339237479255,-0.6333006743889611
2021-09-22,40806924685.95709,47160523803.61308,40556050956.09082,46910584426.55823,50486826911.26456,42767014918.57912,2.2906408907958458,-0.6536421833782935
2021-09-23,46929738659.19234,47550616102.38093,45250706657.0706,46782110914.98798,50752169607.57965,42894880900.540375,2.3037293794123888,-0.6815314355587965
2021-09-24,46814346086.98197,46888627135.48986,41391829545.906,44144432928.34932,50974994850.42519,43011963161.638664,2.256498913730172,-0.7574430538152258
2021-09-25,44130417636.17803,44690094970.2186,42830732875.4928,43938875309.83692,51166828251.326,43122540169.12956,2.25900636857411,-0.7896860253574883
2021-09-26,43913647783.92858,44723264495.02401,41703903384.92028,44135089400.23513,51313733085.36211,43233288575.747574,2.250571193735262,-0.8348297160119893
2021-09-27,44063611410.16149,45856167278.87076,42986302618.59423,43053576021.01647,51451744300.15115,43350040465.81324,2.257907786158986,-0.9201400456871991
2021-09-28,43108112539.09758,44096416825.09626,41607890943.18,41724299536.94239,51568318547.53309,43462189672.09606,2.2685840409328644,-0.8601998394277673
2021-09-29,41673809062.53942,46452171459.50844,41454549502.40064,43358227389.14929,51663435168.77263,43576460019.634514,2.3077059378296174,-0.7607691499087685
2021-09-30,43338592204.65924,45031425610.33626,43070712187.68798,44494263063.21588,51664242057.371185,43694468283.583694,2.286102187757781,-0.6445746529834402
2021-10-01,44603191586.69634,49930404140.60124,44151114839.0328,48720035268.10806,51688477487.5344,43829675327.39858,2.2768577501982126,-0.46170459048311263
2021-10-02,48142074321.0441,49576640289.7145,46599823471.34914,47874017535.6611,51696688728.62784,43965259168.35523,2.228611178036806,-0.370081883913272
2021-10-03,47928091059.60905,50313334282.6464,47187237564.835,48744277754.41315,51564032868.51133,44102066474.52681,2.232024238393662,-0.32311737089868797
2021-10-04,48744277754.41315,49025737379.0653,46537430943.7169,48169342166.45374,51333338117.06341,44235040723.195625,2.2106143938756806,-0.25540066415412055
2021-10-05,48794368466.53464,50904683294.82132,48534903528.63054,50679346177.57848,51181524364.36908,44377585053.655914,2.229007776103134,-0.18818124702890343
2021-10-06,50072545342.67304,51178048498.94225,47048587503.43,49785077548.69335,51104677245.79112,44511309695.289314,2.1639595174815227,-0.1714403857973064
2021-10-07,50455219612.36433,51222834297.04272,48865227488.064,49954865894.11968,51063535793.11949,44643603237.71402,2.1562530263084683,-0.14038123228674027
2021-10-08,49336775683.48385,50480176523.20375,48330176237.68356,49104767914.06615,50956684511.253265,44767436478.34529,2.1137278657969607,-0.10576974249699614
2021-10-09,49168084775.4411,55881982915.54255,48872760144.64845,53599802904.81625,50835340942.576416,44900542218.054756,2.2151052511367517,-0.015304447311667094
2021-10-10,54344779386.55792,57571101350.88,52749638627.17744,53165741953.20128,50770127297.99521,45056805839.915375,2.3373498763290272,0.06295666062769363
2021-10-11,52496610582.9038,54629048527.31271,50958519235.051,52495686249.1611,50690377610.65811,45207979203.47847,2.2539073888171144,0.24426263470074921
2021-10-12,53164805837.73216,53164805837.73216,49848148730.64,51564984501.00608,50570520329.13711,45344961192.91776,2.2300813728927076,0.40478181232064064
2021-10-13,51558899750.4568,53289309195.12512,50306845310.5088,52837633481.27472,50501176154.75353,45478937711.502014,2.21336905655755,0.3813313519417205
2021-10-14,52864450158.06989,54275012635.01974,52381136793.58494,53167751561.38879,50495705037.54241,45620330384.07519,2.2056810974144776,0.3776807946280786
2021-10-15,53137749567.86111,54690352732.91855,51189495113.15739,53476209557.34525,50512569166.83019,45759688119.947174,2.15337739494912,0.4494814090850461
