time,open,high,low,close,50d,200d,RS,Z of ROC
2018-02-15,1354.99,1394,1309,1358.72,1852.9368500000005,1111.7725824999995,3.235216072974082e-7,
2018-02-16,1356.72,1549.93,1354.69,1533,1830.7337500000003,1117.4431774999996,3.3969029443249513e-7,
2018-02-17,1533,1552,1501.22,1546.35,1809.5111500000003,1123.4579937499996,3.437508261730264e-7,
2018-02-18,1546.35,1644,1393.43,1452.97,1790.8023500000002,1128.6571337499995,3.4099749195783126e-7,
2018-02-19,1452.86,1545,1446.29,1523.14,1774.0042500000004,1133.9182649999996,3.3959107214506584e-7,
2018-02-20,1523.15,1555,1280,1386.99,1755.8476000000003,1139.4788849999995,3.239116463545126e-7,
2018-02-21,1386.85,1409.91,1266,1284.73,1733.1695000000004,1144.9899962499994,3.1937436826970985e-7,
2018-02-22,1284.73,1341.65,1170.14,1210,1706.1888000000004,1150.1771062499995,3.152375925815552e-7,
2018-02-23,1208.64,1309.98,1144.04,1252.01,1681.8112000000006,1154.9201087499996,3.1335213004644296e-7,
2018-02-24,1252.02,1297.01,1132.01,1178,1658.1926000000003,1159.2688999999996,3.095060280221399e-7,
2018-02-25,1178,1202.29,1137.1,1173.02,1632.2962000000005,1163.4881699999996,3.049788475915489e-7,
2018-02-26,1173.02,1267,1142.31,1245.62,1605.0267500000004,1168.0612699999995,3.0511985235401807e-7,
2018-02-27,1244.8,1297.72,1206.65,1230.01,1581.3854000000003,1172.7434974999994,3.0345179563473555e-7,
2018-02-28,1230,1274.1,1193.2,1195.94,1557.8787000000002,1177.2316237499995,2.9899401897480344e-7,
2018-03-01,1195.95,1295,1185.28,1283.33,1530.1977500000005,1181.8895712499996,3.0401546725830255e-7,
2018-03-02,1280.53,1295,1250,1275.12,1502.7640000000001,1186.7390737499995,3.075425194154803e-7,
2018-03-03,1275,1294.96,1255.07,1269.24,1478.0213500000004,1191.6086212499995,3.047785685541251e-7,
2018-03-04,1269.98,1287,1221,1280.01,1450.0395500000004,1196.4319299999995,2.9915646212534067e-7,
2018-03-05,1279.79,1286.76,1249.97,1263,1423.5642000000005,1200.9098487499996,2.979476191568972e-7,
2018-03-06,1261.88,1261.89,1171.31,1206.22,1398.7315500000002,1204.1153662499994,3.0033866799740124e-7,
2018-03-07,1205.22,1220,1031.07,1095.3,1380.3803500000004,1206.0116037499995,3.011822693036675e-7,
2018-03-08,1095.31,1116.99,988.77,1031.4,1365.9662500000004,1207.5461837499997,2.979762871530898e-7,
2018-03-09,1031.07,1075,927,1067.18,1350.5464500000003,1209.3310037499996,3.0371346803075343e-7,
2018-03-10,1067.18,1094.55,991.5,1003.01,1335.8475000000003,1211.2651599999997,3.0592767949299285e-7,
2018-03-11,1003,1157.54,970,1138.05,1318.8733500000003,1213.1829812499996,3.1312707558482376e-7,
2018-03-12,1138.07,1148,1007.47,1049.32,1302.8636000000004,1215.3458312499997,3.1456106762355335e-7,
2018-03-13,1049.67,1100,995.55,1052.69,1290.4210500000002,1217.3898224999996,3.1078643523268776e-7,
2018-03-14,1052.86,1071.81,911.88,947,1278.3121000000003,1219.1961799999997,3.13156093484305e-7,
2018-03-15,947,952.34,871.53,935.37,1264.4197000000004,1220.7110812499996,3.122114578801794e-7,
2018-03-16,935.37,1059.66,893.49,970.51,1250.9216000000004,1222.4842699999995,3.2256034522191107e-7,
2018-03-17,970.02,1028.85,927,947.35,1238.4733500000004,1224.4564337499996,3.3480289802750023e-7,
2018-03-18,947.36,948.63,845,931.99,1224.7905000000005,1226.1928512499994,3.3006020856766294e-7,
2018-03-19,932,998,912.57,992.14,1210.6892500000004,1228.0641112499995,3.234857082160768e-7,
2018-03-20,991.1,1071.84,950,1061.66,1197.6244000000006,1230.0977662499995,3.3039538773806363e-7,
2018-03-21,1061.65,1080,1003.21,1028.4,1187.7240500000005,1232.3116274999995,3.3133925128906925e-7,
2018-03-22,1028.4,1066.5,986,1012.3,1179.1163500000005,1234.4829937499997,3.312818948397276e-7,
2018-03-23,1010.91,1027.61,958.92,1025,1172.3258000000003,1236.7159399999996,3.310787523897813e-7,
2018-03-24,1025,1034.4,970,971.51,1169.2317,1239.1022637499996,3.278918452101737e-7,
2018-03-25,971.32,989,966.22,971.38,1164.6080500000003,1241.0055374999995,3.2618111468078186e-7,
2018-03-26,971.82,976.93,883.37,914,1159.3393500000002,1242.4322149999996,3.2610184838047923e-7,
2018-03-27,914,929.78,870,873.92,1157.2730500000005,1243.7969049999995,3.263433629575131e-7,
2018-03-28,873.93,896.5,847.64,859.08,1156.7948000000004,1245.3019762499996,3.2148514913331196e-7,
2018-03-29,859.11,868.29,693,709.9,1153.0792500000002,1246.5505324999995,3.0854033444229094e-7,
2018-03-30,709.9,771.57,673.02,696.6,1144.6784500000003,1247.4249287499995,3.014973650536103e-7,
2018-03-31,696.79,738.15,680,683.01,1133.1725000000004,1248.2790274999995,2.939909008301747e-7,
2018-04-01,684.38,700.1,626,641.54,1120.8053500000003,1249.0728324999995,2.835063327892012e-7,
2018-04-02,641.54,686.28,636.24,663.65,1109.3020500000002,1250.1321624999996,2.771766739835961e-7,
2018-04-03,663.78,723.71,657.19,708.7,1098.1309000000003,1251.6262174999995,2.757426413425037e-7,
2018-04-04,708.7,708.77,636.02,648.69,1086.7241500000005,1252.8426012499995,2.756339748083709e-7,
2018-04-05,648.43,656,620,641.35,1073.6897000000004,1253.9251637499995,2.7449921376930887e-7,
2018-04-06,641.44,646,603.3,608.74,1059.1035500000003,1254.8046224999996,2.7100140577029445e-7,
2018-04-07,608.99,654.94,608.24,639.4,1042.6897000000004,1255.4085799999996,2.691317327020335e-7,
2018-04-08,639.17,659,638.57,651.5,1024.9680500000002,1256.1029899999996,2.689768791097283e-7,
